,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
899,929.0,70488876.0,NC500,Guac,Dog,Young,Male,Medium,https://www.petfinder.com/dog/guac-70488876/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Verona, NJ, 07044, US
900,930.0,70488877.0,NC500,Jimmy,Dog,Baby,Male,Small,https://www.petfinder.com/dog/jimmy-70488877/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Methuen, MA, 01844, US
901,931.0,70488878.0,NC500,Bloom,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/bloom-70488878/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Methuen, MA, 01844, US
902,932.0,70488879.0,NC500,Van Halen,Dog,Baby,Male,Small,https://www.petfinder.com/dog/van-halen-70488879/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Louis, MO, 63146, US
903,933.0,70488880.0,NC500,Aquaria,Dog,Young,Female,Medium,https://www.petfinder.com/dog/aquaria-70488880/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Louis, MO, 63146, US
904,934.0,70488881.0,NC500,Pine,Dog,Baby,Male,Small,https://www.petfinder.com/dog/pine-70488881/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Louis, MO, 63146, US
905,935.0,70488882.0,NC500,Irish,Cat,Baby,Male,Small,https://www.petfinder.com/cat/irish-70488882/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Louis, MO, 63146, US
906,936.0,70488883.0,NC500,Gill,Dog,Baby,Male,Small,https://www.petfinder.com/dog/gill-70488883/nc/asheville/brother-wolf-animal-rescue-nc500/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Louis, MO, 63146, US
907,937.0,70488872.0,TX1528,Tamlin,Dog,Young,Male,Large,https://www.petfinder.com/dog/tamlin-70488872/tx/pilot-point/miles-of-hope-tx1528/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Jersey City, NJ, 07302, US
908,939.0,70488869.0,VA596,BeeBee - At shelter,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/beebee-at-shelter-70488869/va/rustburg/friends-of-campbell-county-animal-control-foac-in-partnership-with-campbell-county-animal-control-and-care-va596/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Morristown, TN, 37813, US
